Extension,DeviceName,DeviceType,MacAddress,Registered,UserAgent
147,7aa0BB7c-a7ba-B001-b02f-a57aeB5bf2ea,Connect - Tablet,a57aeB5bf2ea,FALSE,
146,IP271-000BF71C7BCA,Polycom_c14811_SPIP321,000BF71C7BCA,TRUE,PolycomSoundPointIP-SPIP_320-UA/3.3.5.0247
149,IP271-000BF71A4B7B,Polycom_c14811_SPIP321,000BF71A4B7B,TRUE,PolycomSoundPointIP-SPIP_320-UA/3.3.5.0247
100,SPA2107-000E07CED0E7,Linksys-c14811-SPA3102,000E07CED0E7,TRUE,Linksys/SPA3102-5.2.13(GW002)
120,IP540-000BF71DDa74,Polycom_c14811_SPIP650,000BF71DDa74,TRUE,PolycomSoundPointIP-SPIP_650-UA/4.0.14.0987
120,211f7004-7270-B1ba-b77C-71B1a21e5d22,Connect - Mobile,71B1a21e5d22,FALSE,
120,aaBcd277-ccff-B277-7745-f4dC2b04acb0,Business Communicator - PC,f4dC2b04acb0,FALSE,
120,fe7ab1c7-ae70-Bd17-a122-ef15577C05b5,Connect - Tablet,ef15577C05b5,FALSE,
123,VVX400-000BF7722B0D,Polycom_c14811_VVX500,000BF7722B0D,TRUE,PolycomVVX-VVX_500-UA/5.9.5.0614
124,IP540-000BF71DDaAB,Polycom_c14811_SPIP650,000BF71DDaAB,TRUE,PolycomSoundPointIP-SPIP_650-UA/4.0.14.0987
135,IP271-000BF71BACaD,Polycom_c14811_SPIP321,000BF71BACaD,TRUE,PolycomSoundPointIP-SPIP_320-UA/3.3.5.0247
138,IPB40-000BF7777BBC,Polycom_c14811_SPIP450,000BF7777BBC,TRUE,PolycomSoundPointIP-SPIP_450-UA/4.0.14.0987
183,IP271-000BF71BD77B,Polycom_c14811_SPIP321,000BF71BD77B,TRUE,PolycomSoundPointIP-SPIP_320-UA/3.3.5.0247
184,IP271-000BF71ABE17,Polycom_c14811_SPIP321,000BF71ABE17,FALSE,
223,IP271-000BF71C7C7A,Polycom_c14811_SPIP321,000BF71C7C7A,TRUE,PolycomSoundPointIP-SPIP_320-UA/3.3.5.0247
201,IP271-000Bf71C7D52,Polycom_c14811_SPIP321,000BF71C7D52,FALSE,
6081,soft-haw-mediatrix-01,Generic SIP Phone-c14811,null,TRUE,MxSipApp/5.0.31.260
6082,soft-haw-mediatrix-07,Generic SIP Phone-c14811,null,TRUE,MxSipApp/5.0.31.260
212,IP271-000BF71C7A7B,Polycom_c14811_SPIP321,000BF71C7A7B,TRUE,PolycomSoundPointIP-SPIP_320-UA/3.3.5.0247
127,IP271-000BF71F7CBC,Polycom_c14811_SPIP321,000BF71F7CBC,TRUE,PolycomSoundPointIP-SPIP_320-UA/3.3.5.0247
,,,,,
111,,,,,
1001,OBI207-aCADEFBBDEDD,Polycom-c14811-OBi302,aCADEFBBDEDD,TRUE,OBIHAI/OBi302-3.2.2.5921
1002,OBI207-aCADEFBBDEDD,Polycom-c14811-OBi302,aCADEFBBDEDD,TRUE,OBIHAI/OBi302-3.2.2.5921
6291,TA700-FBB4BaFC4F41,Yeastar-c14811-TA800,FBB4BaFC4F41,TRUE,370LEX_TA800 41.19.0.32
6292,TA700-FBB4BaFC4F41,Yeastar-c14811-TA800,FBB4BaFC4F41,TRUE,370LEX_TA800 41.19.0.32
6747,TA700-FBB4BaFC4F41,Yeastar-c14811-TA800,FBB4BaFC4F41,TRUE,370LEX_TA800 41.19.0.32
6654,TA700-12B5CaC7B4B4,Yeastar-c14811-TA200,1.24E+11,TRUE,EH30_TA200 44.19.0.30
4473,TA700-aC7C5B4B5B44,Yeastar-c14811-TA200,aCa000000000,TRUE,EH30_TA200 44.19.0.30
117,soft-YeastarTA700,Generic SIP Phone-c14811,null,TRUE,MARITIMETA200 44.19.0.30
114,VVXB00-5B15CFa4BDC2,Polycom_c14811_VVX400,5B15CFa4BDC2,TRUE,PolycomVVX-VVX_400-UA/5.9.5.0614
113,,,,,
118,soft-YeastarrTA700,Generic SIP Phone-c14811,null,TRUE,MARITIMETA200 44.19.0.30
104,IP501-000BF71ACE11,Polycom_c14811_SPIP601,000BF71ACE11,TRUE,PolycomSoundPointIP-SPIP_601-UA/3.1.8.0070
106,IP271-000BF7ACB577,Polycom_c14811_SPIP321,000BF7ACB577,TRUE,PolycomSoundPointIP-SPIP_321-UA/4.0.14.0987
107,IP271-000BF7A7D01F,Polycom_c14811_SPIP321,000BF7A7D01F,TRUE,PolycomSoundPointIP-SPIP_321-UA/4.0.14.0987
112,IP271-000BF7A7CF70,Polycom_c14811_SPIP321,000BF7A7CF70,TRUE,PolycomSoundPointIP-SPIP_321-UA/4.0.14.0987
100,IPB40-000BF7770aF0,Polycom_c14811_SPIP450,000BF7770aF0,TRUE,PolycomSoundPointIP-SPIP_430-UA/3.2.2.0477
101,IPB40-000BF7770CCa,Polycom_c14811_SPIP450,000BF7770CCa,TRUE,PolycomSoundPointIP-SPIP_430-UA/3.2.2.0477
102,IP271-000BF7A7D10C,Polycom_c14811_SPIP321,000BF7A7D10C,TRUE,PolycomSoundPointIP-SPIP_321-UA/4.0.14.0987
103,IPB40-000BF77705C2,Polycom_c14811_SPIP450,000BF77705C2,FALSE,
116,IP271-000BF7771702,Polycom_c14811_SPIP321,000BF7771702,TRUE,PolycomSoundPointIP-SPIP_321-UA/4.0.14.0987
301,VVXBX1-000BF7CFB5EE,Polycom_c14811_VVX401-411,000BF7CFB5EE,TRUE,PolycomVVX-VVX_410-UA/5.9.5.0614
302,VVXBX1-000BF7CF272D,Polycom_c14811_VVX401-411,000BF7CF272D,TRUE,PolycomVVX-VVX_410-UA/5.9.5.0614
303,VVXBX1-000BF7CFBEB0,Polycom_c14811_VVX401-411,000BF7CFBEB0,TRUE,PolycomVVX-VVX_410-UA/5.9.5.0614
1000,VVXBX1-5B15CFA7a077,Polycom_c14811_VVX401-411,5B15CFA7a077,FALSE,
5092,VVXBX1-000BF7C52BA7,Polycom_c14811_VVX401-411,000BF7C52BA7,FALSE,
5086,VVXBX1-000BF7D7EDB7,Polycom_c14811_VVX401-411,000BF7D7EDB7,FALSE,
5096,VVXBX1-000BF7CFFF57,Polycom_c14811_VVX401-411,000BF7CFFF57,FALSE,
5093,VVXBX1-000BF7C4E5B5,Polycom_c14811_VVX401-411,000BF7C4E5B5,FALSE,
5085,VVXBX1-000BF7C52E0A,Polycom_c14811_VVX401-411,000BF7C52E0A,FALSE,
5098,VVXBX1-000BF7CDa7AD,Polycom_c14811_VVX401-411,000BF7CDa7AD,FALSE,
5091,VVXBX1-000BF777BAB2,Polycom_c14811_VVX401-411,000BF777BAB2,FALSE,
5088,VVXBX1-000BF7C52Ba7,Polycom_c14811_VVX401-411,000BF7C52Ba7,FALSE,
5097,VVXBX1-000BF75Da41A,Polycom_c14811_VVX401-411,000BF75Da41A,FALSE,
5090,VVXBX1-000BF7CC5C72,Polycom_c14811_VVX401-411,000BF7CC5C72,FALSE,
5089,VVXBX1-000BF7Ca2E24,Polycom_c14811_VVX401-411,000BF7Ca2E24,FALSE,
5095,VVXBX1-000BF75FAF04,Polycom_c14811_VVX401-411,000BF75FAF04,FALSE,
5083,VVXBX1-000BF7CCBCEA,Polycom_c14811_VVX401-411,000BF7CCBCEA,FALSE,
5087,VVXBX1-000BF7C52C7B,Polycom_c14811_VVX401-411,000BF7C52C7B,FALSE,
5094,VVXBX1-000BF7D7AEC2,Polycom_c14811_VVX401-411,000BF7D7AEC2,FALSE,
5084,VVXBX1-000BF7C7BFEa,Polycom_c14811_VVX401-411,000BF7C7BFEa,FALSE,
5082,VVXBX1-000BF7DCF4DF,Polycom_c14811_VVX401-411,000BF7DCF4DF,FALSE,
5081,VVXBX1-000BF7CBCBFF,Polycom_c14811_VVX401-411,000BF7CBCBFF,FALSE,
7596,TA700-172B45C7aa7C,Yeastar-c14811-TA200,1.72E+11,TRUE,TA200GCT02 44.19.0.30
7597,TA700-172B45C7aa7C,Yeastar-c14811-TA200,1.72E+11,FALSE,
7992,TA700-fBb4BafC4f40,Yeastar-c14811-TA800,FBB4BaFC4F40,TRUE,NOC6TA800 41.19.0.32
7993,TA700-fBb4BafC4f40,Yeastar-c14811-TA800,FBB4BaFC4F40,TRUE,NOC6TA800 41.19.0.32
7994,TA700-fBb4BafC4f40,Yeastar-c14811-TA800,FBB4BaFC4F40,TRUE,NOC6TA800 41.19.0.32
7997,TA700-fBb4BafC4f40,Yeastar-c14811-TA800,FBB4BaFC4F40,TRUE,NOC6TA800 41.19.0.32
2642,TA700-fBb4BafC4f40,Yeastar-c14811-TA800,FBB4BaFC4F40,TRUE,NOC6TA800 41.19.0.32
2644,TA700-fBb4BafC4f40,Yeastar-c14811-TA800,FBB4BaFC4F40,TRUE,NOC6TA800 41.19.0.32
2645,TA700-fBb4BafC4f40,Yeastar-c14811-TA800,FBB4BaFC4F40,TRUE,NOC6TA800 41.19.0.32
3183,TA700-FBB4BaFC4Fa7,Yeastar-c14811-TA800,FBB4BaFC4Fa7,TRUE,RV180TA800 41.19.0.32
1845,NetGen-000EAa7B004A,NetGen-c14811-HX4E,000EAa7B004A,TRUE,NetGen Communications HX4G-2S/2 VER.1.9.5.371.1 MAC.00:0E:A9:2B:00:5A/UA 2.0
1249,NetGen-000EAa7B004A,NetGen-c14811-HX4E,000EAa7B004A,TRUE,NetGen Communications HX4G-2S/2 VER.1.9.5.371.1 MAC.00:0E:A9:2B:00:5A/UA 2.0
1850,NetGen-000EAa7AB7BC,NetGen-c14811-HX4E,000EAa7AB7BC,TRUE,NetGen Communications HX4G-2S VER.1.9.5.371.1 MAC.00:0E:A9:2A:B2:4C/UA 2.0
9392,TA700-fBb4BafC4ffB,Yeastar-c14811-TA800,FBB4BaFC4FFB,TRUE,TA800PETB4 41.19.0.32
9056,TA700-fBb4BafC4ffB,Yeastar-c14811-TA800,FBB4BaFC4FFB,TRUE,TA800PETB4 41.19.0.32
8730,TA700-17B5CaC7B417,Yeastar-c14811-TA800,1.74E+11,TRUE,TA800PETB4 41.19.0.32
8515,TA700-C7aB75172B45,Yeastar-c14811-TA800,C7a000000000,TRUE,TA800PETB4 41.19.0.32
1122,TA700-C7aB75172B45,Yeastar-c14811-TA800,C7a000000000,TRUE,TA800PETB4 41.19.0.32
1126,TA700-C7aB75172B45,Yeastar-c14811-TA800,C7a000000000,TRUE,TA800PETB4 41.19.0.32
6020,T42-704E0C745FaB,Yealink-c14811-T53,704E0C745FaB,FALSE,
6021,T42-704E0C745CC0,Yealink-c14811-T53,704E0C745CC0,FALSE,
6022,T42-704E0C74CB5E,Yealink-c14811-T53,704E0C74CB5E,TRUE,Yealink SIP-T53W 96.85.0.5
6023,T42-704E0C745EB7,Yealink-c14811-T53,704E0C745EB7,TRUE,Yealink SIP-T53W 96.85.0.5
6024,T42-704E0C74CB47,Yealink-c14811-T53,704E0C74CB47,TRUE,Yealink SIP-T53W 96.85.0.5
6025,T42-704E0C74CBBA,Yealink-c14811-T53,704E0C74CBBA,FALSE,
6026,T42-704E0C74C727,Yealink-c14811-T53,704E0C74C727,TRUE,Yealink SIP-T53W 96.85.0.5
226,,,,,
6777,,,,,
896,,,,,
890,,,,,
898,,,,,
4071,C7741-DCFC1aDaA7aA,Cisco-c14811-8851,DCFC1aDaA7aA,TRUE,Cisco-CP-8851-3PCC/11.2.3
4071,f7CCdB71-ff0e-Baa4-a0a7-17ca541150a1,Connect - Mobile,17ca541150a1,FALSE,
4071,0aac5fb7-e5df-B075-bf7c-4d7a1daaf5ad,Business Communicator - PC,4d7a1daaf5ad,FALSE,
4071,dBbaB42a-bBd0-B75f-a715-0c7b0c2a5B1e,Connect - Tablet,0c7b0c2a5B1e,FALSE,
4070,C7741-DCFC1aDaA4a5,Cisco-c14811-8851,DCFC1aDaA4a5,TRUE,Cisco-CP-8851-3PCC/11.2.3
4070,C7741-DCFC1aDaA7aA,Cisco-c14811-8851,DCFC1aDaA7aA,TRUE,Cisco-CP-8851-3PCC/11.2.3
4070,C7741-1BA7A0aC5aCE,Cisco-c14811-8851,1BA7A0aC5aCE,TRUE,Cisco-CP-8851-3PCC/11.2.3
4133,C7741-707B7FC5EBFB,Cisco-c14811-8851,707B7FC5EBFB,TRUE,Cisco-CP-8851-3PCC/11.2.3
4133,C7741-DCFC1aDaA7aA,Cisco-c14811-8851,DCFC1aDaA7aA,TRUE,Cisco-CP-8851-3PCC/11.2.3
4134,C7741-1BA7A0aC5aD5,Cisco-c14811-8851,1BA7A0aC5aD5,TRUE,Cisco-CP-8851-3PCC/11.2.3
4134,C7741-DCFC1aDaA7aA,Cisco-c14811-8851,DCFC1aDaA7aA,TRUE,Cisco-CP-8851-3PCC/11.2.3
4140,C7741-1BA7A0aC5775,Cisco-c14811-8851,1BA7A0aC5775,TRUE,Cisco-CP-8851-3PCC/11.2.3
4054,SPA117-00DA44B5B7E0,Cisco-c14811-SPA122,00DA44B5B7E0,TRUE,Cisco/SPA112-1.3.5(004p)
2002,C7741-CBBD7B7B0B2C,Cisco-c14811-8851,CBBD7B7B0B2C,TRUE,Cisco-CP-8851-3PCC/11.2.3
2002,c7B4c7Bb-741B-Ba7f-bf42-eB4aaea01BB7,Connect - Mobile,eB4aaea01BB7,FALSE,
2002,C7741-CBBD7B7AF72E,Cisco-c14811-8851,CBBD7B7AF72E,FALSE,
2002,eC44f271-fbf5-Bd4a-aaBb-1e2BeBB2aad1,Business Communicator - PC,1e2BeBB2aad1,FALSE,
2002,dabb07C7-4a2B-Ba4a-acad-efCdc1fedfdf,Connect - Tablet,efCdc1fedfdf,FALSE,
2007,C7741-CBBD7B7B027E,Cisco-c14811-8851,CBBD7B7B027E,TRUE,Cisco-CP-8851-3PCC/11.2.3
2007,bBCaB1e2-f2C5-B00f-7Ca0-be7174a4fBfb,Connect - Mobile,be7174a4fBfb,FALSE,
2007,fb01faab-a57b-Bcdd-ac27-72ffbac24a7f,Business Communicator - PC,72ffbac24a7f,FALSE,
2007,7dce57ad-eaa7-Ba7b-7acf-Cc7ce2172bf7,Connect - Tablet,Cc7ce2172bf7,FALSE,
1001,T71P-001454a5F7Ba,Yealink-c14811-T21xE2,001454a5F7Ba,TRUE,Yealink SIP-T21P_E2 52.83.0.50
1000,T71P-001454E0FB7C,Yealink-c14811-T21xE2,001454E0FB7C,TRUE,Yealink SIP-T21P_E2 52.83.0.50
1345,C7dCdfd7-0B1c-B2Cd-acf4-a1ebaa7a2BC7,Connect - Mobile,a1ebaa7a2BC7,FALSE,
1345,BBcdeB7d-210b-B4aa-ada1-edf2ad4d0aaa,Business Communicator - PC,edf2ad4d0aaa,FALSE,
1345,7B07cd0d-c25e-Bba4-777C-42dab5fddaCa,Connect - Tablet,42dab5fddaCa,FALSE,
1344,C7C0CaBe-02Bb-BBfa-af4d-c11c1fCa4adc,Connect - Mobile,c11c1fCa4adc,FALSE,
1344,aa0eCCba-BBa4-B2BB-aCbC-722bbbBdaf1a,Business Communicator - PC,722bbbBdaf1a,FALSE,
1344,bB1CeBaa-eB7e-B145-7f5d-ae210b5a7fea,Connect - Tablet,ae210b5a7fea,FALSE,
1346,547daaCa-fcdd-BcdB-be40-2Ba1Baeba1c5,Connect - Mobile,2Ba1Baeba1c5,FALSE,
1346,17a12Bdc-7a1d-BCCd-727C-704aC51aC1a1,Business Communicator - PC,7.05E+11,FALSE,
1346,fcc54eBB-d0ad-Be05-bca2-dd57754c7fda,Connect - Tablet,dd57754c7fda,FALSE,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
7168,VVX200-000BF7C7Fa4C,Polycom_c14811_VVX301-311,000BF7C7Fa4C,FALSE,
8459,vvx200-000BF7C7FB47,Polycom_c14811_VVX301-311,000BF7C7FB47,FALSE,
7177,P224-000BF7B10BaF,Polycom_c14811_SPIP335,000BF7B10BaF,TRUE,PolycomSoundPointIP-SPIP_335-UA/4.0.14.1580
8460,vvx200-000BF7C7E4B1,Polycom_c14811_VVX301-311,000BF7C7E4B1,FALSE,
7172,PLY-224-000BF72BC1DE,Polycom_c14811_SPIP335,000BF72BC1DE,FALSE,
7175,PB40-000BF7B1BE01,Polycom_c14811_SPIP450,000BF7B1BE01,TRUE,PolycomSoundPointIP-SPIP_450-UA/4.0.14.1580
7171,P540-000BF72C2712,Polycom_c14811_SPIP650,000BF72C2712,TRUE,PolycomSoundPointIP-SPIP_650-UA/4.0.14.1580
8461,vvx200-000BF7C7EE5a,Polycom_c14811_VVX301-311,000BF7C7EE5a,TRUE,PolycomVVX-VVX_300-UA/5.2.2.0501
7174,PB40-000BF7B1BAEB,Polycom_c14811_VVX301-311,000BF7B1BAEB,TRUE,PolycomSoundPointIP-SPIP_450-UA/4.0.9.0509
7174,P540-000BF72C2712,Polycom_c14811_SPIP650,000BF72C2712,TRUE,PolycomSoundPointIP-SPIP_650-UA/4.0.14.1580
7178,PLY224-000BF7BB1177,Polycom_c14811_SPIP321,000BF7BB1177,FALSE,
7176,P224-000BF7B10ACB,Polycom_c14811_SPIP335,000BF7B10ACB,TRUE,PolycomSoundPointIP-SPIP_335-UA/4.0.14.1580
7173,PB40-000BF7B1B7FA,Polycom_c14811_SPIP450,000BF7B1B7FA,TRUE,PolycomSoundPointIP-SPIP_450-UA/4.0.14.1580
7173,P540-000BF72C2712,Polycom_c14811_SPIP650,000BF72C2712,TRUE,PolycomSoundPointIP-SPIP_650-UA/4.0.14.1580
7169,vtech-1BAEDB10E7a0,Vtech-c14811-VCS752,1BAEDB10E7a0,TRUE,Vtech Vesa VCS754 1.1.1.1-0
100,T72G-001454E4A472,Yealink-c14811-T23G,001454E4A472,FALSE,
100,B50577C2-eCf4-BBB1-7f7f-5271cabaa4ac,Connect - Mobile,5271cabaa4ac,FALSE,
100,a777bCad-baB7-BCaC-7afd-C2fC27addB7e,Business Communicator - PC,C2fC27addB7e,FALSE,
100,17B4b42C-badb-B7af-be2a-aaCCeB4d4044,Connect - Tablet,aaCCeB4d4044,FALSE,
101,T72G-001454E4A420,Yealink-c14811-T23G,001454E4A420,FALSE,
101,b1f22Cf1-fda0-B112-a0aC-07aec750C74C,Connect - Mobile,07aec750C74C,FALSE,
101,cC4ea7C2-a0a2-Bb70-a5C7-7c5eb71cBacd,Business Communicator - PC,7c5eb71cBacd,FALSE,
101,771aebbB-e2C0-Ba4f-b7CB-bc75bCccd57f,Connect - Tablet,bc75bCccd57f,FALSE,
102,T72G-704EC07A154D,Yealink-c14811-T23G,704EC07A154D,FALSE,
104,T72G-001454E4A40B,Yealink-c14811-T23G,001454E4A40B,FALSE,
104,5a71bd0b-7b2a-Be7a-b0aB-444c4Ceb0aaC,Connect - Mobile,444c4Ceb0aaC,FALSE,
104,Cd4f2c70-ed12-B7a5-7147-7a2B2Ba0d7e4,Business Communicator - PC,7a2B2Ba0d7e4,FALSE,
104,aBBca7C0-d77c-BdCa-abCC-401bed277Bf7,Connect - Tablet,401bed277Bf7,FALSE,
103,T72G-704EC07A1aA7,Yealink-c14811-T23G,704EC07A1aA7,FALSE,
105,IP5000-000BF7ECF4B4,Polycom_c14811_SSIP6000,000BF7ECF4B4,FALSE,
108,VVX201-5B15CF725B2D,Polycom_c14811_VVX301-311,5B15CF725B2D,TRUE,PolycomVVX-VVX_301-UA/5.5.2.8571
136,VVX201-5B15CF724AED,Polycom_c14811_VVX301-311,5B15CF724AED,TRUE,PolycomVVX-VVX_301-UA/5.9.5.0614
117,VVX201-5B15CF7247BC,Polycom_c14811_VVX301-311,5B15CF7247BC,TRUE,PolycomVVX-VVX_301-UA/5.5.2.8571
142,VVX201-5B15CF724DE1,Polycom_c14811_VVX301-311,5B15CF724DE1,TRUE,PolycomVVX-VVX_301-UA/5.5.2.8571
122,VVX201-5B15CF00BE1F,Polycom_c14811_VVX301-311,5B15CF00BE1F,TRUE,PolycomVVX-VVX_301-UA/5.5.2.8571
1007,CPa70-704EC057BA17,Yealink-c14811-CP920,704EC057BA17,TRUE,Yealink SIP-CP920 78.84.0.90
1008,CPa70-704EC057Ba75,Yealink-c14811-CP920,704EC057Ba75,TRUE,Yealink SIP-CP920 78.84.0.90
1009,CPa70-704EC057BA1C,Yealink-c14811-CP920,704EC057BA1C,TRUE,Yealink SIP-CP920 78.84.0.90
1010,,,,,
426,T71P-704EC01C4175,Yealink-c14811-T21xE2,704EC01C4175,TRUE,Yealink SIP-T21P_E2 52.80.0.70
400,TB7S-001454F4245a,Yealink-c14811-T48S,001454F4245a,TRUE,Yealink SIP-T48S 66.81.193.110
423,T71P-001454D1E2aF,Yealink-c14811-T21xE2,001454D1E2aF,TRUE,Yealink SIP-T21P_E2 52.80.0.70
406,T71P-001454D1172C,Yealink-c14811-T21xE2,001454D1172C,TRUE,Yealink SIP-T21P_E2 52.80.0.70
123,SPA40B-007Ca0B7EF4C,Cisco-c14811-SPA504G,007Ca0B7EF4C,TRUE,Cisco/SPA112-1.3.5(004p)
421,T71P-001454D1ECBF,Yealink-c14811-T21xE2,001454D1ECBF,TRUE,Yealink SIP-T21P_E2 52.80.0.70
,,,,,
413,T71P-001454D1ECCC,Yealink-c14811-T21xE2,001454D1ECCC,TRUE,Yealink SIP-T21P_E2 52.80.0.70
412,T71P-001454D110FC,Yealink-c14811-T21xE2,001454D110FC,TRUE,Yealink SIP-T21P_E2 52.80.0.70
422,T71P-001454D1DDBB,Yealink-c14811-T21xE2,001454D1DDBB,TRUE,Yealink SIP-T21P_E2 52.80.0.70
403,T71P-001454D1ECBa,Yealink-c14811-T21xE2,001454D1ECBa,FALSE,
